household_income,leisure_purpose,leisure_purpose_2,weekday_avg_leisure_time,weekend_avg_leisure_time,rest_recreation_rate,hobby_rate,self_improvement_rate,social_relationship_rate,leisure_activity_1,leisure_activity_2,leisure_activity_3,leisure_activity_4,leisure_activity_5
0,1,6,5,10,95,0,0,5,1,7,1,7,6
3,2,4,2,3,30,20,30,20,2,0,0,0,0
4,3,1,1,2,30,20,20,30,1,1,3,3,2
4,1,4,1,5,50,10,20,20,8,2,4,6,6
4,1,6,5,10,70,20,5,5,1,3,0,0,0
0,4,1,4,15,60,25,10,5,1,7,4,0,0
4,3,1,5,12,80,0,20,0,2,4,3,3,7
0,3,4,5,7,20,40,20,20,5,0,0,0,0
0,4,6,2,3,10,0,20,70,1,4,2,0,0
0,5,1,5,8,30,0,70,0,2,2,4,2,3
0,6,1,1,1,100,0,0,0,7,1,0,0,0
1,5,1,4,8,30,0,30,40,5,1,8,5,0
3,4,5,3,6,10,50,40,0,7,4,2,2,3
4,1,0,2,5,85,5,5,5,1,0,0,0,0
0,3,5,2,0,50,10,20,20,2,3,3,0,0
2,2,6,2,15,100,0,0,0,3,3,3,3,0
0,1,7,1,5,20,40,10,30,6,6,1,5,1
0,1,6,1,3,10,90,0,0,3,0,0,0,0
4,4,3,3,7,10,15,5,70,2,1,1,2,2
0,4,5,3,6,100,0,0,0,4,1,1,1,1
4,8,2,1,2,25,25,25,25,6,3,3,6,0
0,6,1,2,4,80,10,0,10,1,1,7,3,3
0,4,8,2,5,30,20,0,50,2,2,2,3,1
4,3,1,4,5,65,10,10,15,6,7,2,7,8
0,1,6,3,10,70,2,8,20,1,2,0,0,0
0,2,1,5,10,50,50,0,0,7,7,0,0,0
4,3,6,1,3,60,10,0,30,1,1,7,7,2
3,4,6,1,3,50,30,15,5,1,1,1,7,5
0,7,8,3,5,60,15,5,20,1,0,0,0,0
0,6,5,2,2,100,0,0,0,1,1,4,1,3
4,6,1,1,2,100,0,0,0,7,7,6,0,0
4,4,1,4,8,30,10,0,60,1,1,7,1,6
4,5,0,4,8,20,0,70,10,5,1,6,1,1
0,4,1,3,8,40,30,20,10,7,1,2,5,1
